Date,Count,Claimed,Approved,Loss
2025-08-17,154,14097182.42,809655.27,13287527.15
2025-08-14,141,13394738.79,4582777.02,8811961.77
2025-08-06,75,11268273.64,6324584.02,4943689.620000001
2025-09-01,80,11938729.92,7740298.14,4198431.78
2025-08-10,38,5575280.31,2076637.28,3498643.0299999993
2025-08-25,51,9998203.8,7116003.48,2882200.3200000003
2025-08-05,51,5795279.79,3176555.53,2618724.2600000002
2025-08-03,30,5256179.88,2767422.6,2488757.28
2025-08-04,46,5581206.2,3416848.84,2164357.3600000003
2025-08-15,26,4824505.01,3177731.72,1646773.2899999996
2025-08-18,29,2567888.95,1073028.09,1494860.86
2025-08-08,25,3592657.43,2164914.83,1427742.6
2025-08-19,36,5088544.21,3736180.78,1352363.4300000002
2025-08-21,21,3211237.64,1910437.43,1300800.2100000002
2025-08-12,26,2774766.88,1622943.97,1151822.91
2025-08-27,30,3203969.94,2164789.93,1039180.0099999998
2025-08-16,23,2259410.52,1396856.83,862553.69
2025-08-24,29,3280284.23,2440525.96,839758.27
2025-08-07,18,1610801.09,885175.22,725625.8700000001
2025-08-20,32,4013325.67,3309313.43,704012.2399999998
2025-08-02,45,5928331.23,5279890.75,648440.4800000004
2025-08-26,18,1297127.88,712804.97,584322.9099999999
2025-08-11,32,2449891.57,1873352.51,576539.0599999998
2025-08-13,17,1272997.62,751297.23,521700.39000000013
2025-08-28,21,1940974.91,1473467.06,467507.84999999986
2025-08-30,20,1550283.46,1184324.95,365958.51
2025-08-31,12,864748.2,512230.55,352517.64999999997
2025-08-23,17,2071427.38,1726570.24,344857.1399999999
2025-08-22,10,1033737.13,791244.64,242492.49
2025-08-09,21,1212964.19,1039720.19,173244.0
2025-08-29,5,73481.91,25089.55,48392.36
2025-08-01,1,60119.47,19339.5,40779.97
