INSURER PERFORMANCE ANALYSIS,,,,,,,,
,,,,,,,,
Insurer Name,Total Claims,Approved,Rejected,Partial,Rejection Rate %,Net Amount SAR,Approved SAR,Financial Loss SAR
Bupa Arabia for Cooperative Insurance,4873,2022,1204,930,24.7%,"10,101,725.49","5,727,941.36","4,373,784.13"
The Cooperative Company for Cooperative Insurance (Tawuniya),4402,2143,425,1174,9.7%,"7,920,641.11","5,370,179.27","2,550,461.84"
The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company (MedGulf),3958,1576,377,1328,9.5%,"4,599,534.23","2,989,396.58","1,610,137.65"
,1866,0,0,0,0.0%,"623,028.02",0.00,"623,028.02"
Arabian Shield Cooperative Insurance Company *,1343,716,115,491,8.6%,"2,503,450.03","2,087,799.28","415,650.75"
CNHI,1180,362,69,444,5.8%,"139,088,551.27","77,282,012.51","61,806,538.76"
Gulf Union Cooperative Insurance Company,745,335,183,182,24.6%,"1,889,603.70","657,168.61","1,232,435.09"
Al-Rajhi Company for Cooperative Insurance,674,254,124,248,18.4%,"1,030,638.75","386,135.03","644,503.72"
Malath Cooperative Insurance and Reinsurance Company,594,279,113,172,19.0%,"821,990.83","538,215.13","283,775.70"
  Saudi United Cooperative Insurance Company (Wala,394,229,19,123,4.8%,"563,984.53","437,612.14","126,372.39"
Arabia Insurance Cooperative Company,393,206,66,65,16.8%,"1,461,964.76","427,884.07","1,034,080.69"
Mutakamela Insurance Company,331,214,22,73,6.6%,"602,203.98","372,588.61","229,615.37"
Amana Cooperative Insurance Company *,276,154,39,46,14.1%,"852,599.01","330,481.66","522,117.35"
Al Etihad Cooperative Insurance Company,209,94,56,36,26.8%,"373,444.39","202,807.35","170,637.04"
AL Jazira Takaful,138,18,73,26,52.9%,"868,070.93","119,524.30","748,546.63"
Salama Cooperative Insurance Company,127,82,11,18,8.7%,"254,564.16","132,474.53","122,089.63"
Gulf Insurance Group – GIG,119,83,7,21,5.9%,"66,831.73","43,151.82","23,679.91"
Al Sagr Cooperative Insurance Company *,85,52,9,23,10.6%,"90,624.53","61,328.13","29,296.40"
Saudi Enaya Cooperative Insurance Company,74,46,8,12,10.8%,"140,117.86","86,103.43","54,014.43"
Saudi Arabian Cooperative Insurance Company (SAICO) *,28,14,6,8,21.4%,"21,557.70","14,171.11","7,386.59"
Allied Cooperative Insurance Group (ACIG),24,13,0,4,0.0%,"23,232.95","20,627.07","2,605.88"
United Cooperative Insurance Company,23,17,3,3,13.0%,"26,963.02","5,856.92","21,106.10"
Buruj Cooperative Insurance Company *,18,10,4,0,22.2%,"18,366.99","12,295.77","6,071.22"
